指标,p.statistic,p.p.value
AQI,0.988747304,0.078050938
城区面积,0.843472768,2.98E-14
城市出租汽车,0.968814285,7.95E-05
城市道路照明灯,0.760365302,9.98E-18
城市公共汽电车车辆运营数,0.853659061,9.68E-14
城市公共汽电车运营线路总长度,0.712779806,2.48E-19
城市建设用地面积,0.869040941,6.41E-13
城市绿地面积,0.705152353,1.43E-19
城市排水管道长度,0.760819784,1.04E-17
城市桥梁,0.591184366,1.13E-22
城市清扫保洁面积,0.799617407,3.23E-16
城市燃气普及率,0.662587448,8.03E-21
城市人口密度,0.950625061,6.51E-07
城市污水日处理能力,0.827795732,5.39E-15
城市用水普及率,0.591927447,1.17E-22
除涝面积,0.742291944,2.31E-18
低温冷冻和雪灾受灾面积,0.672478533,1.53E-20
电子商务采购额,0.642445966,2.26E-21
电子商务销售额,0.685621495,3.68E-20
发明专利授权数,0.707347555,1.68E-19
分地区公路货运量,0.956935965,3.05E-06
分地区水路货运量,0.758434166,8.50E-18
分地区铁路货运量,0.603347316,2.23E-22
分地区用电量,0.863270343,3.10E-13
风雹灾害受灾面积,0.694666262,6.85E-20
公路货物周转量,0.840338024,2.10E-14
公路客运量,0.928007756,5.58E-09
公路旅客周转量,0.850985682,7.07E-14
供热面积,0.935825064,2.57E-08
供热总量热水,0.943106014,1.19E-07
供热总量蒸汽,0.817039975,1.78E-15
国家自然保护区个数,0.882554878,3.84E-12
国家自然保护区面积,0.573965516,4.38E-23
旱灾受灾面积,0.659332628,6.52E-21
洪涝地质灾害和台风受灾面积,0.684408851,3.39E-20
技术市场成交额,0.549770005,1.22E-23
建成区绿化覆盖率,0.108951104,4.53E-31
居民人均消费支出,0.844957827,3.53E-14
每万人拥有公共厕所,0.877628608,1.97E-12
每万人拥有公共交通车辆,0.924370002,2.84E-09
年末人口数,0.937902022,3.94E-08
年末实有道路面积,0.814228739,1.34E-15
年末实有道路长度,0.777093733,4.16E-17
企业期末使用计算机数,0.752073392,5.05E-18
企业拥有网站数,0.802132964,4.11E-16
全年供水总量,0.755591115,6.73E-18
人工煤气管道长度,0.617369594,5.01E-22
人工煤气全年供气总量,0.679493794,2.44E-20
人工煤气用气人口数,0.490947943,6.76E-25
人均城市道路面积,0.967695051,5.71E-05
人均公园绿地面积,0.98080612,0.003981213
人均可支配收入,0.808793171,7.82E-16
人均生活用水量,0.929164235,6.95E-09
生活垃圾清运量,0.817904236,1.94E-15
生活垃圾无害化处理厂数,0.896977529,3.05E-11
生活垃圾无害化处理量,0.824881924,3.97E-15
生活垃圾无害化处理率,0.605958667,2.59E-22
生活垃圾无害化处理能力,0.771705524,2.60E-17
实用新型专利授权数,0.630088422,1.07E-21
受灾人口,0.898101135,3.62E-11
水库总容量,0.827638211,5.30E-15
水路货物周转量,0.625167941,7.94E-22
水土流失治理面积,0.927607289,5.18E-09
水运客运量,0.820435959,2.51E-15
水运旅客周转量,0.790571723,1.39E-16
天然气管道长度,0.858290043,1.68E-13
天然气全年供气总量,0.818067715,1.97E-15
天然气用气人口数,0.935857298,2.59E-08
铁路货物周转量,0.775278184,3.55E-17
铁路客运量,0.924608646,2.97E-09
铁路旅客周转量,0.918338914,9.65E-10
外观设计专利授权数,0.498101388,9.48E-25
液化石油气管道长度,0.505622287,1.36E-24
液化石油气全年供气总量,0.414946019,2.31E-26
液化石油气用气人口,0.563949662,2.57E-23
用水人口,0.876937804,1.80E-12
有电子商务交易活动企业数,0.804915847,5.36E-16
主要城市降水量,0.935312503,2.32E-08
主要城市平均气温,0.965125556,2.73E-05
主要城市平均相对湿度,0.943513508,1.30E-07
主要城市日照时数,0.988560393,0.072638777
